Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
LA CUMBRE,76377,VALLE DEL CAUCA,LA CUMBRE - VALLE DEL CAUCA,0
LA DORADA,17380,CALDAS,LA DORADA - CALDAS,0
LA ESPERANZA,54385,NORTE DE SANTANDER,LA ESPERANZA - NORTE DE SANTANDER,0
LA ESTRELLA,05380,ANTIOQUIA,LA ESTRELLA - ANTIOQUIA,0
LA FLORIDA,52381,NARIÑO,LA FLORIDA - NARIÑO,0
LA GLORIA,20383,CESAR,LA GLORIA - CESAR,0
LA GUADALUPE,94885,GUAINIA,LA GUADALUPE - GUAINIA,0
LA JAGUA DE IBIRICO,20400,CESAR,LA JAGUA DE IBIRICO - CESAR,0
LA JAGUA DEL PILAR,44420,LA GUAJIRA,LA JAGUA DEL PILAR - LA GUAJIRA,0
LA LLANADA,52385,NARIÑO,LA LLANADA - NARIÑO,0
LA MACARENA,50350,META,LA MACARENA - META,0
LA MERCED,17388,CALDAS,LA MERCED - CALDAS,0
LA MESA,25386,CUNDINAMARCA,LA MESA - CUNDINAMARCA,0
LA MONTAÑITA,18410,CAQUETA,LA MONTAÑITA - CAQUETA,0
LA PALMA,25394,CUNDINAMARCA,LA PALMA - CUNDINAMARCA,0
LA PAZ,20621,CESAR,LA PAZ - CESAR,1
LA PAZ,68397,SANTANDER,LA PAZ - SANTANDER,2
LA PEDRERA,91407,AMAZONAS,LA PEDRERA - AMAZONAS,0
LA PEÑA,25398,CUNDINAMARCA,LA PEÑA - CUNDINAMARCA,0
LA PINTADA,05390,ANTIOQUIA,LA PINTADA - ANTIOQUIA,0
LA PLATA,41396,HUILA,LA PLATA - HUILA,0
LA PLAYA,54398,NORTE DE SANTANDER,LA PLAYA - NORTE DE SANTANDER,0
LA PRIMAVERA,99524,VICHADA,LA PRIMAVERA - VICHADA,0
LA SALINA,85136,CASANARE,LA SALINA - CASANARE,0
LA SIERRA,19392,CAUCA,LA SIERRA - CAUCA,0
LA TEBAIDA,63401,QUINDIO,LA TEBAIDA - QUINDIO,0
LA TOLA,52390,NARIÑO,LA TOLA - NARIÑO,0
LA UNION,05400,ANTIOQUIA,LA UNION - ANTIOQUIA,1
LA UNION,52399,NARIÑO,LA UNION - NARIÑO,2
LA UNION,70400,SUCRE,LA UNION - SUCRE,3
LA UNION,76400,VALLE DEL CAUCA,LA UNION - VALLE DEL CAUCA,4
LA UVITA,15403,BOYACA,LA UVITA - BOYACA,0
LA VEGA,19397,CAUCA,LA VEGA - CAUCA,1
LA VEGA,25402,CUNDINAMARCA,LA VEGA - CUNDINAMARCA,2
LA VICTORIA,91430,AMAZONAS,LA VICTORIA - AMAZONAS,1
LA VICTORIA,15401,BOYACA,LA VICTORIA - BOYACA,2
LA VICTORIA,76403,VALLE DEL CAUCA,LA VICTORIA - VALLE DEL CAUCA,3
